Country,ISO Code,Year,Population,GDP ISD,Biofuel Electricity kWh,Biofuel Share Elec %,Carbon Intensity Elec gCO₂e/kWh,Coal Electricity kWh,Coal Share Elec %,Electricity Demand kWh,Electricity Generation kWh,Electricity Share Energy %,Fossil Elec Per Capita kWh,Fossil Electricity kWh,Fossil Share Elec %,Gas Electricity kWh,Gas Share Elec %,Hydro Electricity kWh,Hydro Share Elec %,Low Carbon Elec Per Capita kWh,Low Carbon Electricity kWh,Low Carbon Share Elec %,Nuclear Electricity kWh,Nuclear Share Elec %,Oil Electricity kWh,Oil Share Elec %,Other Renewable Electricity kWh,Other Renewable Exc Biofuel Electricity kWh,Other Renewables Elec Per Capita kWh,Other Renewables Elec Per Capita Exc Biofuel kWh,Other Renewables Share Elec %,Other Renewables Share Elec Exc Biofuel %,Per Capita Electricity kWh,Renewables Elec Per Capita kWh,Renewables Electricity kWh,Renewables Share Elec %,Solar Electricity kWh,Solar Share Elec %,Wind Electricity kWh,Wind Share Elec %
Jordan,JOR,2022,11285875.0,99281829888.0,0.0,0.0,540.924,0.0,0.0,22.08,21.87,,1494.789,16.87,77.138,15.91,72.748,0.02,0.091,443.032,5.0,22.862,0.0,0.0,0.96,4.39,0.0,0.0,0.0,0.0,0.0,0.0,1937.821,443.032,5.0,22.862,3.37,15.409,1.61,7.362
Kazakhstan,KAZ,2023,19606640.0,503634067456.0,0.0,0.0,821.391,75.91,66.658,113.06,113.88,14.143,5067.161,99.35,87.241,23.37,20.522,8.77,7.701,741.075,14.53,12.759,0.0,0.0,0.07,0.061,0.005,,0.23,,0.004,,5808.236,741.075,14.53,12.759,1.83,1.607,3.93,3.451
Kenya,KEN,2023,55100588.0,190362157056.0,0.24,1.967,70.492,0.0,0.0,12.99,12.2,,13.248,0.73,5.984,0.0,0.0,2.7,22.131,208.165,11.47,94.016,0.0,0.0,0.73,5.984,6.28,6.04,113.973,109.618,51.475,49.508,221.413,208.165,11.47,94.016,0.49,4.016,2.0,16.393
Kiribati,KIR,2022,131237.0,,0.0,0.0,666.667,0.0,0.0,0.03,0.03,,228.594,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,228.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,KWT,2023,4310107.0,218961231872.0,0.0,0.0,649.163,0.0,0.0,90.84,90.84,20.745,21029.641,90.64,99.78,50.85,55.978,0.0,0.0,46.403,0.2,0.22,0.0,0.0,39.79,43.802,0.0,0.0,0.0,0.0,0.0,0.0,21076.043,46.403,0.2,0.22,0.17,0.187,0.03,0.033
Kyrgyzstan,KGZ,2022,6630621.0,31703001088.0,0.0,0.0,147.292,1.76,12.708,16.2,13.85,,294.09,1.95,14.079,0.15,1.083,11.9,85.921,1794.704,11.9,85.921,0.0,0.0,0.04,0.289,0.0,0.0,0.0,0.0,0.0,0.0,2088.794,1794.704,11.9,85.921,0.0,0.0,0.0,0.0
Laos,LAO,2022,7529477.0,54953902080.0,0.08,0.174,265.506,12.41,27.008,12.2,45.95,,1648.189,12.41,27.008,0.0,0.0,33.4,72.688,4454.493,33.54,72.992,0.0,0.0,0.0,0.0,0.08,0.0,10.625,0.0,0.174,0.0,6102.682,4454.493,33.54,72.992,0.06,0.131,0.0,0.0
Latvia,LVA,2023,1830214.0,51248480256.0,0.69,11.04,123.2,0.0,0.0,7.03,6.25,19.325,797.721,1.46,23.36,1.46,23.36,3.8,60.8,2617.18,4.79,76.64,0.0,0.0,0.0,0.0,0.69,0.0,377.005,0.0,11.04,0.0,3414.901,2617.18,4.79,76.64,0.04,0.64,0.26,4.16
Lebanon,LBN,2022,5489744.0,48741707776.0,0.03,0.299,599.005,0.0,0.0,10.5,10.05,,1657.637,9.1,90.547,0.0,0.0,0.61,6.07,173.05,0.95,9.453,0.0,0.0,9.1,90.547,0.03,0.0,5.465,0.0,0.299,0.0,1830.686,173.05,0.95,9.453,0.3,2.985,0.01,0.1
Lesotho,LSO,2022,2305826.0,4761723392.0,0.0,0.0,20.0,0.0,0.0,0.93,0.5,,0.0,0.0,0.0,0.0,0.0,0.5,100.0,216.842,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.842,216.842,0.5,100.0,0.0,0.0,0.0,0.0
Liberia,LBR,2022,5302690.0,4231560960.0,0.0,0.0,227.848,0.0,0.0,0.79,0.79,,49.032,0.26,32.911,0.0,0.0,0.53,67.089,99.949,0.53,67.089,0.0,0.0,0.26,32.911,0.0,0.0,0.0,0.0,0.0,0.0,148.981,99.949,0.53,67.089,0.0,0.0,0.0,0.0
Libya,LBY,2022,6812344.0,91444477952.0,0.0,0.0,818.692,0.0,0.0,31.13,30.28,,4443.405,30.27,99.967,21.48,70.938,0.0,0.0,1.468,0.01,0.033,0.0,0.0,8.79,29.029,0.0,0.0,0.0,0.0,0.0,0.0,4444.873,1.468,0.01,0.033,0.01,0.033,0.0,0.0
