Country,ISO Code,Year,Population,GDP ISD,Biofuel Electricity kWh,Biofuel Share Elec %,Carbon Intensity Elec gCO₂e/kWh,Coal Electricity kWh,Coal Share Elec %,Electricity Demand kWh,Electricity Generation kWh,Electricity Share Energy %,Fossil Elec Per Capita kWh,Fossil Electricity kWh,Fossil Share Elec %,Gas Electricity kWh,Gas Share Elec %,Hydro Electricity kWh,Hydro Share Elec %,Low Carbon Elec Per Capita kWh,Low Carbon Electricity kWh,Low Carbon Share Elec %,Nuclear Electricity kWh,Nuclear Share Elec %,Oil Electricity kWh,Oil Share Elec %,Other Renewable Electricity kWh,Other Renewable Exc Biofuel Electricity kWh,Other Renewables Elec Per Capita kWh,Other Renewables Elec Per Capita Exc Biofuel kWh,Other Renewables Share Elec %,Other Renewables Share Elec Exc Biofuel %,Per Capita Electricity kWh,Renewables Elec Per Capita kWh,Renewables Electricity kWh,Renewables Share Elec %,Solar Electricity kWh,Solar Share Elec %,Wind Electricity kWh,Wind Share Elec %
Afghanistan,AFG,2022,41128772.0,53303472128.0,0.0,0.0,132.53,0.03,3.614,6.71,0.83,,3.161,0.13,15.663,0.0,0.0,0.62,74.699,17.02,0.7,84.337,0.0,0.0,0.1,12.048,0.0,0.0,0.0,0.0,0.0,0.0,20.181,17.02,0.7,84.337,0.08,9.639,0.0,0.0
Albania,ALB,2022,2842318.0,36171005952.0,0.0,0.0,24.286,0.0,0.0,7.92,7.0,,0.0,0.0,0.0,0.0,0.0,6.96,99.429,2462.779,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2462.779,2462.779,7.0,100.0,0.04,0.571,0.0,0.0
Algeria,DZA,2022,44903228.0,595820019712.0,0.0,0.0,634.611,0.0,0.0,87.04,88.18,12.028,1948.635,87.5,99.229,87.12,98.798,0.01,0.011,15.144,0.68,0.771,0.0,0.0,0.38,0.431,0.0,0.0,0.0,0.0,0.0,0.0,1963.779,15.144,0.68,0.771,0.66,0.748,0.01,0.011
American Samoa,ASM,2022,44295.0,,0.0,0.0,611.111,0.0,0.0,0.18,0.18,,3837.905,0.17,94.444,0.0,0.0,0.0,0.0,225.759,0.01,5.556,0.0,0.0,0.17,94.444,0.0,0.0,0.0,0.0,0.0,0.0,4063.664,225.759,0.01,5.556,0.01,5.556,0.0,0.0
Angola,AGO,2022,35588996.0,158346248192.0,0.05,0.295,174.734,0.0,0.0,16.94,16.94,,118.857,4.23,24.97,1.67,9.858,12.64,74.616,357.133,12.71,75.03,0.0,0.0,2.56,15.112,0.05,0.0,1.405,0.0,0.295,0.0,475.99,357.133,12.71,75.03,0.02,0.118,0.0,0.0
Antigua and Barbuda,ATG,2022,93772.0,,0.0,0.0,611.111,0.0,0.0,0.36,0.36,,3625.816,0.34,94.444,0.0,0.0,0.0,0.0,213.283,0.02,5.556,0.0,0.0,0.34,94.444,0.0,0.0,0.0,0.0,0.0,0.0,3839.099,213.283,0.02,5.556,0.02,5.556,0.0,0.0
Argentina,ARG,2023,45773888.0,854914301952.0,2.33,1.519,354.103,0.6,0.391,166.1,153.43,16.524,1993.276,91.24,59.467,73.38,47.826,33.17,21.619,1358.635,62.19,40.533,8.95,5.833,17.26,11.249,2.276,,49.716,,1.483,,3351.911,1163.109,53.24,34.7,3.25,2.118,14.49,9.444
Armenia,ARM,2022,2780472.0,39721734144.0,0.0,0.0,264.538,0.0,0.0,8.01,8.77,,1370.271,3.81,43.444,3.81,43.444,2.0,22.805,1783.87,4.96,56.556,2.63,29.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.141,837.987,2.33,26.568,0.33,3.763,0.0,0.0
Aruba,ABW,2022,106459.0,,0.0,0.0,561.224,0.0,0.0,0.98,0.98,,7796.429,0.83,84.694,0.0,0.0,0.0,0.0,1408.993,0.15,15.306,0.0,0.0,0.83,84.694,0.0,0.0,0.0,0.0,0.0,0.0,9205.422,1408.993,0.15,15.306,0.01,1.02,0.14,14.286
Australia,AUS,2023,26439114.0,1344251494400.0,3.36,1.222,548.692,127.52,46.389,274.89,274.89,18.057,6646.592,175.73,63.927,42.78,15.563,15.76,5.733,3750.504,99.16,36.073,0.0,0.0,5.43,1.975,3.126,,118.222,,1.137,,10397.096,3750.504,99.16,36.073,46.91,17.065,33.13,12.052
